brand,category,product_name,model,variant,sku,mrp,image_path,source_url
Axor,Helmets,X-Cross Dual Visor Helmet,X-Cross Dual Visor Helmet,Standard,7106981429380,7406.00,images_processed\axor\298.webp,
Axor,Helmets,Axor Jet Carbon Big Checks helmet with bubble visor,Axor Jet Carbon Big Checks helmet with bubble visor,Standard,7106798518404,5210.00,images_processed\axor\CarbonBigChecks_2.webp,
Axor,Helmets,Axor Jet Carbon Small Checks helmet with Bubble Visor,Axor Jet Carbon Small Checks helmet with Bubble Visor,Standard,7106798420100,5210.00,images_processed\axor\CarbonSmallChecks2.webp,
Axor,Helmets,Axor Diva Women's Jacket,Axor Diva Women's Jacket,Standard,7105870692484,5912.00,images_processed\axor\DivaBlackRed2.webp,
Axor,Helmets,Axor Cruise 2 Jacket,Axor Cruise 2 Jacket,Standard,7105870626948,5912.00,images_processed\axor\Cruise2NeonYellowBlack2.webp,
Axor,Helmets,Axor Falcon Jacket,Axor Falcon Jacket,Standard,7105870594180,8990.00,images_processed\axor\Grey_2_76495ab4-ce92-4229-a024-0683be3d574f.webp,
Axor,Helmets,Axor Flow Jacket,Axor Flow Jacket,Standard,7105870561412,4958.00,images_processed\axor\Grey_2.webp,
Axor,Helmets,Apex DC Joker Helmet,Apex DC Joker Helmet,Standard,7105868955780,6500.00,images_processed\axor\364.webp,
Axor,Helmets,Axor xBhp Speed of Thought Helmet,Axor xBhp Speed of Thought Helmet,Standard,7103155110020,6500.00,images_processed\axor\xbhb_3.webp,
Axor,Helmets,Street Solid Black Helmet,Street Solid Black Helmet,Standard,7103154880644,5498.00,images_processed\axor\Streetblack_3.webp,
Axor,Helmets,X-cross Single Color Helmet,X-cross Single Color Helmet,Standard,7103154749572,5984.00,images_processed\axor\376_6d418249-e0e8-4b6d-bd59-d887d4920f1d.webp,
Axor,Helmets,Axor Retro Moto-X Helmet,Axor Retro Moto-X Helmet,Standard,7103154651268,5498.00,images_processed\axor\DullAthenaGrey_2.webp,
Axor,Helmets,Axor Retro Jet Hawaii Women's Helmet,Axor Retro Jet Hawaii Women's Helmet,Standard,7103154618500,2951.00,images_processed\axor\HAWAII_2.webp,
Axor,Helmets,Axor Retro Jet Helmet,Axor Retro Jet Helmet,Standard,7103154585732,2951.00,images_processed\axor\BLACK2.webp,
Axor,Helmets,Apex Turbine Helmet,Apex Turbine Helmet,Standard,7102684168324,5498.00,images_processed\axor\373.webp,
Axor,Helmets,Apex Vivid Helmet,Apex Vivid Helmet,Standard,7102684135556,5498.00,images_processed\axor\382.webp,
Axor,Helmets,Apex Venomous Helmet,Apex Venomous Helmet,Standard,7102684102788,5498.00,images_processed\axor\409_024a5f8b-796f-4c8f-bbb2-328e659d61c8.webp,
Axor,Helmets,Apex Hunter Helmet,Apex Hunter Helmet,Standard,7102684004484,5498.00,images_processed\axor\498.webp,
Axor,Helmets,Apex Hex-2 Helmet,Apex Hex-2 Helmet,Standard,7102683906180,5498.00,images_processed\axor\552_2c52f281-d124-4dca-bd88-3c960f7a3bdd.webp,
KYT,Helmets,KYT Striker Flaming Gloss Anthracite Red Helmet,KYT Striker Flaming Gloss Anthracite Red Helmet,Standard,7989524136001,6950.00,images_processed\kyt\1_25e39557-a3fd-4b2e-9511-668caf80674c.webp,
